epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,389.17,1.38943,2.69057,1.58021,0.96386,0.61169,0.8841,0.55371,1.23186,3.03507,1.28615,0.000411523,0.000411523,0.000411523
2,799.364,1.29822,1.59611,1.45298,0.97337,0.92362,0.93662,0.35494,2.14331,1.94265,2.07207,0.00081999,0.00081999,0.00081999
3,1214.82,1.33561,1.40248,1.46768,0.88272,0.8874,0.91275,0.61737,1.16143,1.39904,1.23252,0.00122021,0.00122021,0.00122021
4,1651.12,1.28194,1.19664,1.42737,0.85386,0.68452,0.79345,0.5519,1.08277,1.43143,1.18777,0.00121287,0.00121287,0.00121287
5,2052.64,1.25646,1.08402,1.40269,0.94453,0.89358,0.90541,0.21726,2.80223,1.81195,3.07633,0.0012005,0.0012005,0.0012005
6,2440.27,1.19714,0.99629,1.37737,0.96066,0.92796,0.94673,0.66175,1.12571,0.79165,1.18152,0.00118812,0.00118812,0.00118812
7,2855.66,1.24973,0.94307,1.38677,0.95963,0.92973,0.94873,0.63931,1.20084,0.80016,1.22903,0.00117575,0.00117575,0.00117575
8,3265.65,1.16891,0.85226,1.34748,0.86917,0.8469,0.92314,0.72724,0.81001,0.82784,1.05193,0.00116337,0.00116337,0.00116337
9,3695.33,1.18351,0.85676,1.35745,0.9657,0.93587,0.95045,0.5736,1.535,0.7812,1.41494,0.001151,0.001151,0.001151
10,4159.77,1.1708,0.82075,1.33591,0.72888,0.85565,0.8905,0.71362,0.72859,0.86977,1.02129,0.00113863,0.00113863,0.00113863
11,4555.31,1.12985,0.79087,1.32195,0.98707,0.93939,0.95417,0.73932,0.8886,0.54931,1.07073,0.00112625,0.00112625,0.00112625
12,4986.52,1.08623,0.77015,1.29621,0.9487,0.92535,0.95212,0.79239,0.69184,0.55314,0.98749,0.00111388,0.00111388,0.00111388
13,5409.48,1.071,0.72697,1.28773,0.9856,0.93687,0.95251,0.8086,0.67741,0.49573,0.98348,0.0011015,0.0011015,0.0011015
14,5784.5,1.07555,0.7205,1.28479,0.8903,0.91365,0.93819,0.78898,0.67822,0.67749,1.01062,0.00108913,0.00108913,0.00108913
15,6161.06,1.07312,0.73503,1.2867,0.95003,0.85847,0.94527,0.78876,0.67708,0.62591,0.97896,0.00107675,0.00107675,0.00107675
16,6535.85,1.04627,0.69868,1.26369,0.98039,0.92794,0.95629,0.82267,0.6788,0.50622,0.98969,0.00106437,0.00106437,0.00106437
17,7353.39,1.06889,0.71571,1.28969,0.93713,0.94279,0.95376,0.78368,0.71779,0.49261,0.97971,0.001052,0.001052,0.001052
18,7771.38,1.04962,0.69132,1.27434,0.9812,0.94697,0.95525,0.77651,0.76557,0.46273,0.99295,0.00103962,0.00103962,0.00103962
19,8148.25,1.02842,0.6786,1.26462,0.98929,0.94697,0.95862,0.67421,1.20184,0.56893,1.20784,0.00102725,0.00102725,0.00102725
20,8522.74,1.03425,0.66908,1.27121,0.96061,0.93854,0.95016,0.80509,0.66109,0.45384,0.97121,0.00101488,0.00101488,0.00101488
21,8899.85,1.01955,0.6503,1.25711,0.98589,0.94149,0.95679,0.83838,0.60102,0.42074,0.94767,0.0010025,0.0010025,0.0010025
22,9351.78,1.00425,0.64798,1.24355,0.98268,0.93354,0.95825,0.83633,0.58124,0.43996,0.94501,0.000990125,0.000990125,0.000990125
23,9766.54,1.01609,0.64714,1.2594,0.98891,0.94235,0.95425,0.78502,0.75213,0.42782,0.99053,0.00097775,0.00097775,0.00097775
24,10164,0.98723,0.62251,1.24928,0.98908,0.94023,0.95181,0.83962,0.59381,0.41258,0.94315,0.000965375,0.000965375,0.000965375
25,10534.7,0.96907,0.60995,1.22488,0.98513,0.9443,0.94891,0.78751,0.74572,0.42429,0.98367,0.000953,0.000953,0.000953
26,10907.3,0.9456,0.60682,1.21088,0.98521,0.93791,0.95913,0.83586,0.60446,0.3986,0.94633,0.000940625,0.000940625,0.000940625
27,34789.2,0.97474,0.6146,1.23057,0.97186,0.94118,0.95857,0.82997,0.6352,0.40002,0.95035,0.00092825,0.00092825,0.00092825
28,35224.9,0.95502,0.60341,1.21529,0.98467,0.94032,0.95784,0.83051,0.56055,0.39406,0.94377,0.000915875,0.000915875,0.000915875
29,35618.5,0.99501,0.61429,1.23118,0.98749,0.94347,0.96285,0.69733,1.14267,0.50535,1.16681,0.0009035,0.0009035,0.0009035
30,36060.9,0.94866,0.58451,1.21327,0.97039,0.91511,0.95955,0.80562,0.69637,0.45106,0.98546,0.000891125,0.000891125,0.000891125
31,36441.1,0.92749,0.58558,1.19775,0.98861,0.93437,0.95596,0.81938,0.63942,0.40203,0.95861,0.00087875,0.00087875,0.00087875
32,36783.4,0.92141,0.57453,1.19186,0.98834,0.9378,0.95718,0.83244,0.61658,0.38333,0.94582,0.000866375,0.000866375,0.000866375
33,37144.7,0.92228,0.56586,1.1958,0.98741,0.93858,0.95683,0.8421,0.57541,0.39824,0.92783,0.000854,0.000854,0.000854
34,37572.7,0.91861,0.57441,1.19294,0.9563,0.91979,0.94523,0.77036,0.76861,0.54955,1.02573,0.000841625,0.000841625,0.000841625
35,37979.6,0.93805,0.58793,1.20022,0.98664,0.94085,0.97159,0.8293,0.64016,0.38063,0.95371,0.00082925,0.00082925,0.00082925
36,38378.8,0.89823,0.5618,1.18385,0.98822,0.93939,0.96326,0.85053,0.61459,0.38636,0.94414,0.000816875,0.000816875,0.000816875
37,38742.7,0.93109,0.57598,1.18961,0.94583,0.91096,0.95518,0.84017,0.55463,0.4642,0.93431,0.0008045,0.0008045,0.0008045
38,39145.7,0.91368,0.5559,1.18788,0.9712,0.95314,0.96079,0.81828,0.66563,0.38096,0.95827,0.000792125,0.000792125,0.000792125
39,39627.1,0.87716,0.53912,1.17814,0.98796,0.94347,0.96348,0.80682,0.71429,0.37436,0.96949,0.00077975,0.00077975,0.00077975
40,40063.5,0.88867,0.54889,1.18393,0.98898,0.93418,0.96428,0.83371,0.62394,0.36871,0.94564,0.000767375,0.000767375,0.000767375
41,40573.6,0.9128,0.56489,1.19674,0.98763,0.93702,0.96091,0.84978,0.55191,0.37751,0.92851,0.000755,0.000755,0.000755
42,41049.5,0.89584,0.54512,1.18247,0.98662,0.93768,0.95693,0.82336,0.62339,0.36933,0.93333,0.000742625,0.000742625,0.000742625
43,41514.4,0.87431,0.53217,1.16753,0.98394,0.95455,0.95442,0.7715,0.80395,0.41467,1.00303,0.00073025,0.00073025,0.00073025
44,41971.4,0.87612,0.53729,1.17606,0.99032,0.94093,0.96129,0.83796,0.61127,0.36667,0.94183,0.000717875,0.000717875,0.000717875
45,42461.7,0.86518,0.51806,1.16669,0.97834,0.94569,0.95904,0.84297,0.54838,0.36771,0.92038,0.0007055,0.0007055,0.0007055
46,42843.8,0.87446,0.5348,1.17501,0.98679,0.94169,0.95973,0.84161,0.55854,0.35293,0.9178,0.000693125,0.000693125,0.000693125
47,43261.6,0.85184,0.5231,1.15508,0.98943,0.9401,0.96014,0.80336,0.74154,0.36454,0.98066,0.00068075,0.00068075,0.00068075
48,43762,0.85464,0.52027,1.16283,0.98419,0.94541,0.95936,0.83144,0.59904,0.34112,0.92056,0.000668375,0.000668375,0.000668375
49,44197.8,0.84811,0.52132,1.15392,0.98549,0.93939,0.96016,0.85489,0.54068,0.36828,0.90728,0.000656,0.000656,0.000656
50,44691.9,0.84611,0.51922,1.16118,0.97399,0.95322,0.96227,0.85268,0.52444,0.32941,0.90573,0.000643625,0.000643625,0.000643625
51,45199.8,0.81933,0.51669,1.14245,0.9892,0.94117,0.96745,0.8274,0.63253,0.34901,0.94564,0.00063125,0.00063125,0.00063125
52,45703.2,0.81848,0.51345,1.14541,0.97347,0.95055,0.96208,0.85283,0.5389,0.338,0.91639,0.000618875,0.000618875,0.000618875
53,46208.2,0.81411,0.50649,1.13246,0.98919,0.93939,0.9574,0.8691,0.47778,0.31344,0.89209,0.0006065,0.0006065,0.0006065
54,46715.6,0.82415,0.50963,1.15931,0.97431,0.94697,0.95448,0.84923,0.52557,0.3292,0.90425,0.000594125,0.000594125,0.000594125
55,47224.9,0.8236,0.51012,1.15191,0.97541,0.95422,0.9594,0.79822,0.75348,0.3635,0.99239,0.00058175,0.00058175,0.00058175
56,47725.3,0.80642,0.49976,1.1385,0.98943,0.93939,0.96303,0.86836,0.50671,0.32403,0.90528,0.000569375,0.000569375,0.000569375
57,48222.5,0.81455,0.49387,1.13966,0.9755,0.92597,0.96827,0.83463,0.60973,0.40869,0.95843,0.000557,0.000557,0.000557
58,48729,0.79067,0.48364,1.13288,0.98724,0.94473,0.96462,0.82936,0.6416,0.34783,0.94251,0.000544625,0.000544625,0.000544625
59,49206.5,0.80502,0.49072,1.13514,0.9876,0.93978,0.96159,0.85123,0.50407,0.33204,0.89725,0.00053225,0.00053225,0.00053225
60,49662,0.79382,0.49083,1.12654,0.97593,0.94031,0.95934,0.83706,0.56996,0.38526,0.92369,0.000519875,0.000519875,0.000519875
61,50158.6,0.79608,0.48976,1.12551,0.99052,0.94061,0.96651,0.87449,0.47516,0.31095,0.88532,0.0005075,0.0005075,0.0005075
