epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5377,1.66235,2.12967,1.73672,0.5329,0.06818,0.02541,0.00539,3.31448,8.51685,9.38971,0.0822222,0.00197531,0.00197531
2,105.598,1.66263,1.55631,1.68972,0.08014,0.28941,0.05879,0.01705,2.82073,32.2098,4.62112,0.0642218,0.00397487,0.00397487
3,159.076,1.63518,1.4926,1.68105,0.70642,0.26222,0.25497,0.08402,2.5569,9.78168,2.84273,0.0462196,0.00597269,0.00597269
4,211.887,1.6007,1.4308,1.65833,0.40531,0.14482,0.06859,0.01634,2.99005,10.8255,3.53607,0.0282144,0.00796745,0.00796745
5,268.138,1.57292,1.3645,1.62679,0.5825,0.48668,0.478,0.18767,2.42423,2.35251,2.4605,0.0102047,0.00995783,0.00995783
6,325.091,1.57347,1.39238,1.64673,0.33605,0.11438,0.02856,0.01084,3.2972,7.39091,5.24635,0.00997264,0.00997264,0.00997264
7,382.304,1.50742,1.27479,1.57521,0.52983,0.79224,0.63207,0.27153,1.92719,2.56442,1.80614,0.00996061,0.00996061,0.00996061
8,441.14,1.48188,1.2197,1.56034,0.52132,0.49413,0.464,0.17097,2.54116,3.36111,2.32213,0.00994642,0.00994642,0.00994642
9,498.663,1.43759,1.20281,1.52898,0.91883,0.90718,0.94075,0.38887,1.89479,1.06607,1.76731,0.00993005,0.00993005,0.00993005
10,553.506,1.44338,1.19583,1.53815,0.51882,0.38835,0.46692,0.15037,2.47651,2.79633,2.49256,0.00991152,0.00991152,0.00991152
11,608.584,1.40964,1.15575,1.51494,0.32671,0.38442,0.24124,0.06224,2.83554,4.57731,3.24137,0.00989085,0.00989085,0.00989085
12,665.158,1.41761,1.12769,1.52716,0.93242,0.91161,0.93153,0.40554,1.76202,1.0782,1.63846,0.00986803,0.00986803,0.00986803
13,721.482,1.43204,1.11839,1.5168,0.75055,0.57182,0.65756,0.13285,2.85513,2.83235,2.62565,0.00984307,0.00984307,0.00984307
14,777.387,1.40661,1.12117,1.5009,0.89564,0.89118,0.91842,0.52609,1.5542,1.1903,1.50657,0.009816,0.009816,0.009816
15,832.358,1.37833,1.08449,1.49527,0.77597,0.54427,0.68817,0.46912,1.23863,1.74179,1.3736,0.00978681,0.00978681,0.00978681
16,889.154,1.3681,1.08882,1.48519,0.75441,0.71529,0.81142,0.1778,2.84687,2.50151,2.86719,0.00975553,0.00975553,0.00975553
17,948.608,1.34789,1.02326,1.4806,0.64342,0.4468,0.47852,0.15647,2.53543,2.11755,2.47657,0.00972216,0.00972216,0.00972216
18,1004.23,1.35293,1.02815,1.45614,0.86135,0.90517,0.92405,0.60186,1.23946,0.79832,1.25442,0.00968672,0.00968672,0.00968672
19,1059.43,1.29769,0.98802,1.43768,0.97162,0.75564,0.92767,0.45727,1.68857,1.18622,1.60929,0.00964923,0.00964923,0.00964923
20,1116.47,1.29761,0.99817,1.42133,0.88758,0.85601,0.86055,0.615,1.03573,0.80976,1.18377,0.00960971,0.00960971,0.00960971
21,1171.67,1.3244,0.97874,1.42001,0.95697,0.93264,0.94505,0.6497,1.19146,0.80821,1.23884,0.00956816,0.00956816,0.00956816
22,1228.76,1.29475,0.95505,1.41873,0.96296,0.92968,0.94816,0.62689,1.14613,0.70447,1.21474,0.00952461,0.00952461,0.00952461
23,1285.46,1.2874,0.93638,1.41013,0.96274,0.91318,0.93769,0.52695,1.56518,0.77671,1.45782,0.00947908,0.00947908,0.00947908
24,1340.67,1.24384,0.91452,1.37422,0.96091,0.93939,0.94159,0.67714,1.03493,0.61169,1.18282,0.00943159,0.00943159,0.00943159
25,1398.73,1.30394,0.9267,1.44377,0.84464,0.90077,0.90551,0.68305,0.9598,0.79877,1.1628,0.00938215,0.00938215,0.00938215
26,1454.29,1.2642,0.92914,1.40456,0.94428,0.76501,0.87456,0.65593,1.01223,0.89704,1.22278,0.0093308,0.0093308,0.0093308
27,1512.76,1.28682,0.93859,1.42134,0.92995,0.91234,0.94224,0.70985,0.92716,0.60968,1.12235,0.00927754,0.00927754,0.00927754
28,1567.94,1.24795,0.89833,1.40093,0.91804,0.93452,0.943,0.59642,1.31752,0.66858,1.29366,0.00922242,0.00922242,0.00922242
29,1623.15,1.22054,0.86003,1.38246,0.93866,0.91756,0.94102,0.64301,1.20953,1.02973,1.24355,0.00916544,0.00916544,0.00916544
30,1678.36,1.23139,0.8633,1.38495,0.98392,0.93939,0.94471,0.77731,0.75298,0.56016,1.05224,0.00910664,0.00910664,0.00910664
31,1736.53,1.22748,0.85774,1.37454,0.96932,0.86168,0.9279,0.44988,1.9504,1.16985,1.76035,0.00904604,0.00904604,0.00904604
32,1793.48,1.21704,0.87208,1.37969,0.95814,0.91458,0.93988,0.718,0.87474,0.80786,1.08249,0.00898367,0.00898367,0.00898367
33,1850.3,1.22029,0.88068,1.37832,0.94174,0.91346,0.94129,0.76475,0.75475,0.61174,1.05167,0.00891955,0.00891955,0.00891955
34,1908.45,1.20805,0.84487,1.37842,0.96729,0.93531,0.94764,0.77302,0.78502,0.56674,1.04871,0.00885371,0.00885371,0.00885371
35,1966.58,1.19496,0.85689,1.37,0.92501,0.86701,0.87266,0.22345,2.76429,1.42035,2.68963,0.00878619,0.00878619,0.00878619
36,2021.58,1.25878,0.84268,1.39631,0.89757,0.88237,0.92889,0.73753,0.7826,0.59427,1.05443,0.00871701,0.00871701,0.00871701
37,2076.59,1.23898,0.8709,1.40332,0.91831,0.8722,0.9336,0.69862,1.06073,0.66234,1.14097,0.0086462,0.0086462,0.0086462
38,2134.97,1.2201,0.85129,1.38504,0.9671,0.9251,0.94252,0.69764,1.04845,0.60366,1.16471,0.00857379,0.00857379,0.00857379
39,2191.71,1.18223,0.80659,1.34169,0.94414,0.87735,0.90675,0.472,1.7858,1.43834,1.65201,0.00849982,0.00849982,0.00849982
40,2248.59,1.19214,0.82533,1.36704,0.9749,0.93852,0.94205,0.77867,0.74552,0.53374,1.01012,0.00842431,0.00842431,0.00842431
41,2305.36,1.18625,0.81967,1.36295,0.84568,0.8758,0.9268,0.7545,0.70711,0.6499,1.0273,0.00834731,0.00834731,0.00834731
42,2361.03,1.22318,0.86007,1.39046,0.94003,0.92631,0.93344,0.74962,0.75892,0.53417,1.04887,0.00826884,0.00826884,0.00826884
43,2419.22,1.15953,0.79572,1.34011,0.97751,0.93466,0.94509,0.76418,0.75613,0.50753,1.01334,0.00818893,0.00818893,0.00818893
44,2474.82,1.19976,0.81757,1.35613,0.92374,0.87645,0.94036,0.72445,0.94252,0.61926,1.0993,0.00810763,0.00810763,0.00810763
45,2533.04,1.18532,0.81528,1.36342,0.97075,0.93389,0.94788,0.77443,0.6999,0.48535,1.01059,0.00802497,0.00802497,0.00802497
46,2591.38,1.17737,0.78568,1.34855,0.91879,0.91479,0.93414,0.74883,0.78551,0.56831,1.06014,0.00794099,0.00794099,0.00794099
47,2648.31,1.16707,0.78585,1.34467,0.94748,0.93864,0.9461,0.78798,0.68837,0.51168,0.98559,0.00785571,0.00785571,0.00785571
48,2709.82,1.14393,0.78756,1.34174,0.97181,0.89176,0.94056,0.7875,0.70305,0.48226,1.00715,0.00776919,0.00776919,0.00776919
49,2767.86,1.15156,0.80987,1.33931,0.97753,0.92773,0.94158,0.73716,0.84617,0.58469,1.04245,0.00768145,0.00768145,0.00768145
50,2823.54,1.15074,0.79044,1.33776,0.96524,0.90055,0.94253,0.78998,0.71421,0.58379,1.028,0.00759254,0.00759254,0.00759254
51,2880.68,1.13188,0.76357,1.31771,0.97541,0.93468,0.94591,0.8004,0.6749,0.52668,0.98974,0.0075025,0.0075025,0.0075025
52,2935.79,1.13243,0.77018,1.33491,0.93138,0.90501,0.94023,0.7747,0.7364,0.59999,1.02659,0.00741136,0.00741136,0.00741136
53,2991.47,1.13328,0.77398,1.313,0.96094,0.9364,0.94635,0.8001,0.65773,0.49649,0.98486,0.00731916,0.00731916,0.00731916
54,3048.52,1.13757,0.78402,1.33723,0.86681,0.78348,0.90796,0.74547,0.71676,0.67401,1.02375,0.00722595,0.00722595,0.00722595
55,3106.31,1.11887,0.77116,1.31408,0.9705,0.93784,0.94863,0.78826,0.71239,0.4602,0.99009,0.00713177,0.00713177,0.00713177
56,3163.1,1.12517,0.75826,1.31425,0.97447,0.91591,0.95253,0.79671,0.68758,0.49094,0.99423,0.00703665,0.00703665,0.00703665
57,3220.09,1.11694,0.75863,1.31066,0.98689,0.93939,0.94905,0.79115,0.68192,0.49767,0.98789,0.00694064,0.00694064,0.00694064
58,3279.77,1.13871,0.75735,1.32063,0.98886,0.93939,0.9475,0.81045,0.6865,0.49342,1.00271,0.00684378,0.00684378,0.00684378
59,3334.89,1.11313,0.74539,1.30894,0.95122,0.93897,0.94544,0.80532,0.64698,0.4713,0.9832,0.00674612,0.00674612,0.00674612
60,3391.95,1.0916,0.72826,1.29735,0.97191,0.92658,0.94945,0.80796,0.65613,0.45158,0.98985,0.00664769,0.00664769,0.00664769
61,3447.05,1.09766,0.7418,1.29804,0.97938,0.93606,0.94926,0.79913,0.68236,0.55627,0.99002,0.00654854,0.00654854,0.00654854
62,3505.46,1.10067,0.72274,1.2922,0.87832,0.79895,0.92314,0.79046,0.66289,0.65778,0.99006,0.00644871,0.00644871,0.00644871
63,3562.51,1.08658,0.71006,1.27873,0.9099,0.85158,0.92361,0.72801,0.89431,1.02548,1.08207,0.00634825,0.00634825,0.00634825
64,3620.53,1.13965,0.75785,1.33964,0.98057,0.93128,0.94627,0.81591,0.64245,0.45833,0.97929,0.00624721,0.00624721,0.00624721
65,3677.47,1.13634,0.75075,1.31444,0.70942,0.79389,0.82823,0.6759,0.77731,1.38434,1.10025,0.00614561,0.00614561,0.00614561
66,3736.94,1.0946,0.7211,1.29208,0.94069,0.83342,0.93931,0.76691,0.78004,0.59612,1.027,0.00604352,0.00604352,0.00604352
67,3793.99,1.09087,0.71312,1.30161,0.96282,0.93939,0.94478,0.81838,0.6438,0.46301,0.97838,0.00594097,0.00594097,0.00594097
68,3849.53,1.06904,0.70579,1.28503,0.98351,0.93939,0.94793,0.78438,0.76738,0.48798,1.0096,0.00583801,0.00583801,0.00583801
69,3904.63,1.08133,0.7243,1.29507,0.98057,0.90006,0.94755,0.80759,0.6699,0.48775,0.97902,0.00573468,0.00573468,0.00573468
70,3960.21,1.06169,0.69806,1.27308,0.85621,0.80903,0.91252,0.7786,0.63434,1.01384,0.97585,0.00563104,0.00563104,0.00563104
71,4017.11,1.06678,0.70719,1.287,0.98442,0.93413,0.94796,0.80043,0.60507,0.42974,0.95178,0.00552712,0.00552712,0.00552712
72,4072.5,1.07226,0.71035,1.28756,0.8649,0.82876,0.91312,0.75684,0.6894,0.66046,0.9978,0.00542297,0.00542297,0.00542297
73,4127.84,1.05589,0.69903,1.27547,0.97927,0.92234,0.94445,0.82777,0.58731,0.43876,0.95235,0.00531864,0.00531864,0.00531864
74,4184.76,1.04146,0.69294,1.27696,0.97537,0.93831,0.94766,0.78045,0.72034,0.43048,0.99042,0.00521417,0.00521417,0.00521417
75,4243.16,1.02963,0.6846,1.26528,0.98423,0.92588,0.94951,0.82728,0.62508,0.4066,0.95655,0.00510961,0.00510961,0.00510961
76,4301.55,1.04119,0.68347,1.26722,0.96196,0.92775,0.94297,0.79452,0.66798,0.6649,0.96659,0.005005,0.005005,0.005005
77,4359.89,1.05482,0.69186,1.2731,0.98098,0.93939,0.94959,0.82655,0.61529,0.41436,0.9702,0.00490039,0.00490039,0.00490039
78,4418.18,1.04598,0.6781,1.25908,0.93752,0.8977,0.94301,0.82085,0.60226,0.57081,0.96113,0.00479583,0.00479583,0.00479583
