epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.149,1.6564,2.07899,1.7021,0.5216,0.41196,0.45716,0.19657,2.07076,2.87088,2.41717,0.0821488,0.00198347,0.00198347
2,174.287,1.66954,1.62951,1.73037,0.40357,0.12,0.12829,0.0594,2.64473,5.67596,2.72198,0.0641485,0.00398323,0.00398323
3,254.762,1.65759,1.61041,1.7245,0.29193,0.44653,0.30668,0.105,2.47336,4.17554,2.46579,0.0461473,0.005982,0.005982
4,344.959,1.59611,1.44575,1.67411,0.73573,0.40172,0.46078,0.16731,2.31041,2.38695,2.26434,0.0281443,0.00797904,0.00797904
5,444.181,1.57477,1.44648,1.66546,0.71979,0.53095,0.60103,0.27651,1.93101,2.23219,1.97401,0.0101389,0.00997363,0.00997363
6,525.272,1.54636,1.4243,1.65964,0.6251,0.42054,0.44098,0.1394,2.31743,1.96261,2.31085,0.0099846,0.0099846,0.0099846
7,611.601,1.514,1.36258,1.62332,0.81442,0.78624,0.83692,0.33828,2.0393,1.3676,1.93234,0.00997783,0.00997783,0.00997783
8,705.861,1.46677,1.30057,1.57369,0.8333,0.75926,0.82812,0.28535,2.27688,1.75978,2.22708,0.00996983,0.00996983,0.00996983
9,807.393,1.46713,1.27111,1.5641,0.89266,0.92573,0.92785,0.33442,1.96877,1.33626,1.95163,0.00996061,0.00996061,0.00996061
10,895.987,1.45475,1.26047,1.56457,0.78936,0.73712,0.78202,0.34099,1.78395,1.61821,1.72762,0.00995017,0.00995017,0.00995017
11,997.078,1.44738,1.28348,1.56134,0.87954,0.7689,0.86102,0.29848,2.13733,1.59629,2.07419,0.0099385,0.0099385,0.0099385
12,1089.12,1.43275,1.2495,1.5617,0.88845,0.89503,0.89284,0.29119,2.28373,1.51172,2.2028,0.00992562,0.00992562,0.00992562
13,1187,1.4068,1.23017,1.54272,0.85117,0.85227,0.90036,0.38058,2.05484,1.00636,1.92984,0.00991152,0.00991152,0.00991152
14,1282.86,1.40117,1.21162,1.53844,0.91285,0.89147,0.90177,0.24407,2.43587,1.19319,2.41582,0.00989622,0.00989622,0.00989622
15,1376.84,1.37537,1.17963,1.50005,0.90507,0.86975,0.90468,0.39279,1.98086,1.01535,1.85482,0.0098797,0.0098797,0.0098797
16,1481.02,1.41033,1.21474,1.53588,0.82097,0.84306,0.85791,0.34023,2.00261,1.66889,1.88144,0.00986199,0.00986199,0.00986199
17,1580.61,1.36231,1.18794,1.50902,0.93301,0.90736,0.92278,0.36844,2.07046,1.06498,2.01381,0.00984307,0.00984307,0.00984307
18,1668.32,1.36854,1.15198,1.5096,0.90011,0.89498,0.90036,0.26866,2.36568,1.44041,2.28537,0.00982296,0.00982296,0.00982296
19,1777.73,1.36864,1.14577,1.51322,0.93255,0.91062,0.92962,0.33643,2.04902,1.07787,1.9984,0.00980167,0.00980167,0.00980167
20,1878.38,1.32174,1.12275,1.48639,0.90431,0.8672,0.90838,0.43472,1.96318,1.06971,1.90117,0.00977919,0.00977919,0.00977919
21,1973.41,1.30697,1.0831,1.47398,0.8738,0.90597,0.92885,0.66882,0.94039,0.70065,1.19978,0.00975553,0.00975553,0.00975553
22,2039.94,1.3171,1.07935,1.47284,0.94018,0.90862,0.92174,0.52608,1.29477,0.83658,1.32672,0.0097307,0.0097307,0.0097307
23,2138.42,1.32615,1.05622,1.4755,0.96395,0.90291,0.93734,0.50426,1.64823,0.80519,1.55275,0.0097047,0.0097047,0.0097047
24,2228.91,1.33267,1.06504,1.48041,0.93245,0.87562,0.92941,0.48692,1.60618,0.88214,1.5375,0.00967754,0.00967754,0.00967754
25,2328.59,1.28758,1.0544,1.45664,0.89649,0.84516,0.89108,0.62451,0.98227,0.86323,1.2485,0.00964923,0.00964923,0.00964923
26,2394.98,1.2668,1.02,1.43494,0.91363,0.8138,0.9047,0.5141,1.54048,0.87485,1.49603,0.00961978,0.00961978,0.00961978
27,2486.4,1.26746,1.01539,1.43816,0.93871,0.92436,0.94041,0.74635,0.73653,0.59149,1.09911,0.00958918,0.00958918,0.00958918
28,2577.03,1.27617,0.98059,1.44006,0.94869,0.91789,0.91975,0.58468,1.26627,0.77153,1.29761,0.00955746,0.00955746,0.00955746
29,2675.46,1.28429,1.00999,1.4519,0.92633,0.86005,0.89465,0.62352,1.02397,0.66552,1.19197,0.00952461,0.00952461,0.00952461
30,2770.3,1.24909,0.9707,1.42261,0.96932,0.86984,0.92231,0.70387,0.81408,0.78485,1.11593,0.00949065,0.00949065,0.00949065
31,2857.27,1.25721,0.98016,1.44389,0.92552,0.90589,0.94307,0.66825,0.98475,0.66227,1.16524,0.00945558,0.00945558,0.00945558
32,2954.79,1.27357,0.98875,1.43516,0.94434,0.9467,0.95184,0.71141,0.86554,0.55589,1.11073,0.00941941,0.00941941,0.00941941
33,3052.93,1.23679,0.96254,1.41317,0.96533,0.94227,0.95445,0.70375,0.83716,0.58222,1.11919,0.00938215,0.00938215,0.00938215
34,3146.03,1.23228,0.92131,1.40742,0.94379,0.79154,0.92898,0.70727,0.833,0.84949,1.16601,0.00934381,0.00934381,0.00934381
35,3245.9,1.26579,0.96395,1.43446,0.88016,0.73959,0.85197,0.6675,0.77386,1.35771,1.14281,0.00930441,0.00930441,0.00930441
36,3344.84,1.23181,0.9135,1.40519,0.95805,0.91651,0.9522,0.74481,0.71785,0.53968,1.08917,0.00926394,0.00926394,0.00926394
37,3442.53,1.22281,0.90621,1.39489,0.96219,0.89077,0.94053,0.75419,0.76016,0.52658,1.09357,0.00922242,0.00922242,0.00922242
38,3523.81,1.21945,0.90938,1.39991,0.76753,0.68373,0.8065,0.61152,0.92798,1.10387,1.20781,0.00917986,0.00917986,0.00917986
39,3615.24,1.24017,0.90547,1.40343,0.96878,0.91676,0.94886,0.73427,0.76749,0.53779,1.11336,0.00913627,0.00913627,0.00913627
40,3707.71,1.21791,0.89538,1.3904,0.96979,0.93934,0.94656,0.72345,0.84574,0.57839,1.08349,0.00909166,0.00909166,0.00909166
41,3801.96,1.19298,0.88119,1.37372,0.97771,0.94358,0.95112,0.77335,0.71278,0.51528,1.06542,0.00904604,0.00904604,0.00904604
42,3897.03,1.22698,0.90395,1.39863,0.88327,0.83459,0.87607,0.65281,0.87608,0.81853,1.18182,0.00899942,0.00899942,0.00899942
43,3996.97,1.2153,0.89736,1.39617,0.85076,0.86826,0.87909,0.68003,0.83241,0.74261,1.12652,0.00895182,0.00895182,0.00895182
44,4091.82,1.18101,0.86045,1.37644,0.9707,0.88094,0.93837,0.74921,0.7667,0.6042,1.10754,0.00890325,0.00890325,0.00890325
45,4162.61,1.19152,0.87223,1.36996,0.92848,0.76441,0.85523,0.63645,1.03258,1.05412,1.24226,0.00885371,0.00885371,0.00885371
