epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.733,0.69726,0.42874,1.07364,0.9855,0.94551,0.95998,0.86412,0.49407,0.27871,0.88682,0.000411523,0.000411523,0.000411523
2,104.508,0.7495,0.45444,1.10362,0.97433,0.94434,0.95872,0.87237,0.49518,0.35253,0.89062,0.000811642,0.000811642,0.000811642
3,157.392,0.7832,0.47155,1.1261,0.9838,0.94697,0.96468,0.83796,0.58089,0.38646,0.93047,0.00119511,0.00119511,0.00119511
4,212.697,0.84315,0.50964,1.16428,0.97737,0.94,0.95819,0.84777,0.55579,0.35737,0.93138,0.00117507,0.00117507,0.00117507
5,268.036,0.83622,0.52092,1.14473,0.98875,0.93939,0.95579,0.8615,0.54688,0.3602,0.91683,0.0011501,0.0011501,0.0011501
6,322.541,0.87147,0.52325,1.17855,0.97564,0.94697,0.96441,0.85054,0.5741,0.38284,0.93889,0.00112513,0.00112513,0.00112513
7,380.092,0.83096,0.52136,1.13535,0.98877,0.94193,0.96752,0.84454,0.5733,0.35245,0.9232,0.00110015,0.00110015,0.00110015
8,436.57,0.82896,0.5073,1.14821,0.98517,0.94363,0.97553,0.84581,0.56265,0.37474,0.92827,0.00107518,0.00107518,0.00107518
9,494.394,0.82082,0.5036,1.13899,0.98997,0.94079,0.9644,0.85697,0.53297,0.36194,0.90584,0.0010502,0.0010502,0.0010502
10,550.95,0.80089,0.50411,1.1329,0.98901,0.94104,0.95684,0.82481,0.56538,0.37423,0.91615,0.00102523,0.00102523,0.00102523
11,607.812,0.84093,0.51688,1.15702,0.98744,0.93939,0.95618,0.8518,0.52917,0.35356,0.91204,0.00100025,0.00100025,0.00100025
12,661.939,0.81031,0.49308,1.136,0.97871,0.94524,0.96168,0.82165,0.64805,0.43705,0.94144,0.000975275,0.000975275,0.000975275
13,716.46,0.80907,0.4897,1.13125,0.98592,0.93838,0.96059,0.82581,0.61855,0.38512,0.9366,0.0009503,0.0009503,0.0009503
14,770.992,0.79213,0.48254,1.12294,0.98822,0.94697,0.96101,0.81025,0.68641,0.37574,0.96814,0.000925325,0.000925325,0.000925325
15,828.019,0.80319,0.50166,1.13894,0.97432,0.93182,0.96088,0.83416,0.58523,0.39459,0.95009,0.00090035,0.00090035,0.00090035
16,883.725,0.80038,0.50001,1.13713,0.99114,0.94075,0.95745,0.81739,0.6635,0.35263,0.94976,0.000875375,0.000875375,0.000875375
17,937.934,0.80105,0.49106,1.13445,0.97624,0.94697,0.96113,0.85773,0.51099,0.34959,0.9076,0.0008504,0.0008504,0.0008504
18,990.204,0.78309,0.47828,1.13086,0.98985,0.94206,0.9537,0.8487,0.54745,0.32312,0.9056,0.000825425,0.000825425,0.000825425
19,1044.81,0.75565,0.46412,1.10978,0.98208,0.93773,0.9616,0.82787,0.67293,0.37176,0.96485,0.00080045,0.00080045,0.00080045
20,1099.12,0.80193,0.48466,1.12872,0.98441,0.93908,0.96581,0.85849,0.53629,0.32758,0.90768,0.000775475,0.000775475,0.000775475
21,1153.79,0.7712,0.45644,1.10323,0.9867,0.94526,0.96185,0.87122,0.50577,0.31089,0.90921,0.0007505,0.0007505,0.0007505
22,1208.17,0.75798,0.45695,1.10397,0.98617,0.93939,0.96078,0.85397,0.53166,0.32734,0.92141,0.000725525,0.000725525,0.000725525
